手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
LG Q60,3890,3245.0,2019/07,11.0,MT6762,,3 GB,64 GB,microSD,2 TB,3500 mAh,6.26 inch,1520x720 pixels,269 ppi,TFT,1600 萬畫素,2.0,173 g,,Yes,https://www.sogi.com.tw/products/lg_q60/14578
HTC Desire 19+ 128GB,5700,,2019/07,11.0,Helio P35,,6 GB,128 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19_plus/14907
SUGAR T50,5300,,2019/06,12.0,Helio P60,,6 GB,128 GB,microSD,128 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,1200 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/sugar_t50/14865
ASUS ZenFone 6 ZS630KL 128GB,15800,10700.0,2019/06,12.0,Snapdragon 855,80.4,6 GB,128 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_zs630kl/14837
SUGAR T10,3490,,2019/06,12.0,MT6762V,,3 GB,64 GB,microSD,128 GB,4000 mAh,6.26 inch,1520x720 pixels,269 ppi,IPS,1200 萬畫素,2.0,177 g,,Yes,https://www.sogi.com.tw/products/sugar_t10/14866
Sony Xperia 1,21000,,2019/06,12.0,Snapdragon 855,80.4,6 GB,128 GB,microSD,512 GB,3330 mAh,6.5 inch,3840x1644 pixels,643 ppi,OLED,1200 萬畫素,1.6,178 g,IP68,,https://www.sogi.com.tw/products/sony_xperia_1/14608
OPPO Reno Z,7900,7180.0,2019/06,12.0,Helio P90,,8 GB,128 GB,,,4035 mAh,6.4 inch,2340x1080 pixels,403 ppi,AMOLED,4800 萬畫素,1.7,186 g,,Yes,https://www.sogi.com.tw/products/oppo_reno_z/14891
OPPO Reno 10 倍變焦版 (8GB/256GB),18500,14000.0,2019/06,12.0,Snapdragon 855,80.4,8 GB,256 GB,microSD,256 GB,4065 mAh,6.6 inch,2340x1080 pixels,390 ppi,AMOLED,4800 萬畫素,1.7,215 g,,,https://www.sogi.com.tw/products/oppo_reno/14736
SAMSUNG Galaxy A80,13500,9763.0,2019/06,12.0,Snapdragon 730,43.0,8 GB,128 GB,,,3700 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED,4800 萬畫素,2.0,220 g,,,https://www.sogi.com.tw/products/samsung_galaxy_a80/14738
SAMSUNG Galaxy A60,6800,6433.0,2019/06,12.0,Snapdragon 675,34.5,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2340x1080 pixels,409 ppi,PLS,3200 萬畫素,1.7,168 g,,,https://www.sogi.com.tw/products/samsung_galaxy_a60/14781
